nom_categorie        ,nom_produit                                              ,prix_produit     ,reference_produit ,url_produit
Parquet Massif       ,Parquet Chêne Massif Griveline                           ,79.9€ HT/m²      ,Ref: 03010403301  ,https://venessens-parquet.com/collections/parquet-chene-massif-griveline-2/
Parquet Massif       ,Parquet Chêne Massif Boston                              ,99.9€ HT/m²      ,Ref: 03010403305  ,https://venessens-parquet.com/collections/parquet-chene-massif-boston-2/
Parquet Massif       ,Parquet Chêne Massif Crans                               ,129.9€ HT/m²     ,Ref: 03010407706  ,https://venessens-parquet.com/collections/parquet-chene-massif-crans/
Parquet Massif       ,Parquet Chêne Massif Boston                              ,129.9€ HT/m²     ,Ref: 03010407705  ,https://venessens-parquet.com/collections/parquet-chene-massif-boston/
Parquet Massif       ,Parquet Chêne Massif Haussmann                           ,99.9€ HT/m²      ,Ref: 03010407703  ,https://venessens-parquet.com/collections/parquet-chene-massif-haussmann/
Parquet Massif       ,Parquet Chêne Massif Crans                               ,99.9€ HT/m²      ,Ref: 03010403306  ,https://venessens-parquet.com/collections/parquet-chene-massif-crans-2/
Parquet Massif       ,Parquet Chêne Massif Aspect Brut                         ,99.9€ HT/m²      ,Ref: 03010407708  ,https://venessens-parquet.com/collections/parquet-chene-massif-aspect-brut/
Parquet Massif       ,Parquet Chêne Massif Javeline                            ,99.9€ HT/m²      ,Ref: 03010407709  ,https://venessens-parquet.com/collections/parquet-chene-massif-javeline/
Panneaux             ,Panneau Chêne Infinito Semi-Massif Walnut                ,299.9€ HT/m²     ,Ref: 02070220001  ,https://venessens-parquet.com/collections/panneau-chene-infinito-semi-massif-walnut/
Panneaux             ,Treccia Chêne Semi-Massif Cortina                        ,279.9€ HT/m²     ,Ref: 02071220022  ,https://venessens-parquet.com/collections/treccia-chene-semi-massif-cortina/
Panneaux             ,Treccia Chêne Semi-Massif Grigio                         ,279.9€ HT/m²     ,Ref: 02071220021  ,https://venessens-parquet.com/collections/treccia-chene-semi-massif-grigio/
Panneaux             ,Dalles Versace Chêne  Semi-Massif Firenze                ,259.9€ HT/m²     ,Ref: 02060210002  ,https://venessens-parquet.com/collections/dalles-versace-chene-semi-massif-firenze/
Move (gaufré)        ,Panneaux Move Alpi Grigio-P                              ,490€ HT/u        ,Ref: 13022010210  ,https://venessens-parquet.com/collections/panneaux-move-grigio-p/
Fresati (fraisés)    ,Panneaux Alpi Grigio Portofino                           ,1690€ HT/u       ,Ref: 13011020304  ,https://venessens-parquet.com/collections/panneaux-alpi-grigio-portofino/
Fresati (fraisés)    ,Panneaux Ebony Fraisé Capri                              ,2390€ HT/u       ,Ref: 13011020305  ,https://venessens-parquet.com/collections/panneaux-ebony-fraise-capri/
Entretien du Parquet ,Nettoyant VENESSENS  Pour Parquets Vernis Mat 5 litres   ,69.9€ HT/litres  ,Ref: 08040011112  ,https://venessens-parquet.com/collections/nettoyant-venessens-pour-parquets-vernis-mat-5-litres/
Entretien du Parquet ,Rénovateur Mat VENESSENS  Pour Parquets Vernis 5 litres  ,110.9€ HT/litres ,Ref: 08040001114  ,https://venessens-parquet.com/collections/renovateur-mat-venessens-pour-parquets-vernis-5-litres/
Entretien du Parquet ,Huile d'Entretien VENESSENS Pour Parquets Huilés 1 litre ,27.9€ HT/litres  ,Ref: 08040222226  ,https://venessens-parquet.com/collections/huile-dentretien-venessens-pour-parquets-huiles-1-litre/
Entretien du Parquet ,Savon Naturel VENESSENS Pour Parquets Huilés 1 litre     ,23.9€ HT/litres  ,Ref: 08040222225  ,https://venessens-parquet.com/collections/savon-naturel-venessens-pour-parquets-huiles-1-litre-2/
Entretien du Parquet ,Savon Naturel VENESSENS Pour Parquets Huilés 1 litre     ,23.9€ HT/litres  ,Ref: 08040222221  ,https://venessens-parquet.com/collections/savon-naturel-venessens-pour-parquets-huiles-1-litre/
Entretien du Parquet ,Rénovateur Mat VENESSENS  Pour Parquets Vernis 1 litres  ,22.9€ HT/litres  ,Ref: 08040001113  ,https://venessens-parquet.com/collections/renovateur-mat-venessens-pour-parquets-vernis-1-litres/
Finition             ,Vitrificateur Intensiv Naturel                           ,214.8€ HT/litres ,Ref: 08050120251  ,https://venessens-parquet.com/collections/vitrificateur-intensiv-naturel/
Finition             ,Vitrificateur Intensiv Effet Nature                      ,214.8€ HT/litres ,Ref: 08050120250  ,https://venessens-parquet.com/collections/vitrificateur-intensiv-effet-nature/
Finition             ,Seuil Placage Bois Chêne Assorti Profil 3 en 1           ,30€ HT/u         ,Ref: 08030515222  ,https://venessens-parquet.com/collections/seuil-placage-bois-chene-assorti-profil-3-en-1/
Pose du Parquet      ,Réagréage Bostik Fibré                                   ,48€ HT/          ,Ref: 08070111125  ,https://venessens-parquet.com/collections/reagreage-bostik-fibre/
Pose du Parquet      ,Isolant TB Alu                                           ,22€ HT/m²        ,Ref: 08020101014  ,https://venessens-parquet.com/collections/isolant-tb-alu/
Finition             ,Plinthes Chêne Massif Brut 70mm                          ,8.4€ HT/ml       ,Ref: 08030211281  ,https://venessens-parquet.com/collections/plinthes-chene-massif-brut-70mm/
Entretien du Parquet ,Nettoyant VENESSENS  Pour Parquets Vernis Mat 1 litre    ,18.9€ HT/litres  ,Ref: 08040011111  ,https://venessens-parquet.com/collections/nettoyant-venessens-pour-parquets-vernis-mat-1-litre/
Sol Stratifié        ,Sol Stratifié Baléares                                   ,29.9€ HT/m²      ,Ref: 06034003003  ,https://venessens-parquet.com/collections/sol-stratifie-baleares-2/
Pose du Parquet      ,Réagréage Bostik Sol Béton Autolissant P3                ,21.6€ HT/        ,Ref: 08070111126  ,https://venessens-parquet.com/collections/reagreage-bostik-sol-beton-autolissant-p3/
Pose du Parquet      ,Isolant Liège Bitumé 4mm                                 ,12€ HT/m²        ,Ref: 08020101012  ,https://venessens-parquet.com/collections/isolant-liege-bitume-4mm/
Pose du Parquet      ,Colle Parquet R-L Bostik                                 ,12€ HT/u         ,Ref: 03010321181  ,https://venessens-parquet.com/collections/colle-parquet-r-l-bostik/
Pose du Parquet      ,Colle Parquet Bostik H140                                ,6€ HT/kg         ,Ref: 08010100140  ,https://venessens-parquet.com/collections/colle-parquet-bostik-h140/
Pose de Terrasse     ,Saturateur Parquets Extérieurs                           ,166.8€ HT/litres ,Ref: 08040433333  ,https://venessens-parquet.com/collections/saturateur-parquets-exterieurs/
Pose du Parquet      ,Colle Parquet Bostik Wood H180                           ,7€ HT/kg         ,Ref: 03010321180  ,https://venessens-parquet.com/collections/colle-parquet-bostik-wood-h180/
Pose du Parquet      ,Isolant Acouflex Gs5                                     ,8€ HT/m²         ,Ref: 08020101013  ,https://venessens-parquet.com/collections/isolant-acouflex-gs5/
Pose du Parquet      ,Colle Parquet Au Cordon 600                              ,9.6€ HT/u        ,Ref: 08010206000  ,https://venessens-parquet.com/collections/colle-parquet-au-cordon-600/
Pose de Terrasse     ,Lambourdes Exotiques                                     ,9.6€ HT/ml       ,Ref: 08060104060  ,https://venessens-parquet.com/collections/lambourdes-exotiques/
Pose du Parquet      ,Isolant Liège Bitumé 2mm                                 ,7€ HT/m²         ,Ref: 08020120015  ,https://venessens-parquet.com/collections/isolant-liege-bitume-2mm/
Move (gaufré)        ,Panneaux Move Alpi Ebony-E                               ,699€ HT/u        ,Ref: 13022010214  ,https://venessens-parquet.com/collections/panneaux-move-ebony-e/
Move (gaufré)        ,Panneaux Move Alpi Noyer-B+B                             ,590€ HT/u        ,Ref: 13022010209  ,https://venessens-parquet.com/collections/panneaux-move-noyer-bb/
Move (gaufré)        ,Panneaux Move Alpi Chêne -N                              ,590€ HT/u        ,Ref: 13022010208  ,https://venessens-parquet.com/collections/panneaux-move-chene-n/
Move (gaufré)        ,Panneaux Move Alpi Noyer-X                               ,549€ HT/u        ,Ref: 13022010212  ,https://venessens-parquet.com/collections/panneaux-move-alpi-noyer-x/
Move (gaufré)        ,Panneaux Move Alpi Noyer D+D                             ,599€ HT/u        ,Ref: 13022010216  ,https://venessens-parquet.com/collections/panneaux-move-noyer-dd/
Fresati (fraisés)    ,Panneaux Noyer Americain Fraisé Venezia                  ,1390€ HT/u       ,Ref: 13011020302  ,https://venessens-parquet.com/collections/panneaux-noyer-americain-fraise-venezia/
Move (gaufré)        ,Panneaux Move Alpi Wengé A+A                             ,549€ HT/u        ,Ref: 13022010213  ,https://venessens-parquet.com/collections/panneaux-move-alpi-wenge-aa/
Fresati (fraisés)    ,Panneaux Noyer Americain Fraisé Milano                   ,1590€ HT/u       ,Ref: 13011020307  ,https://venessens-parquet.com/collections/panneaux-noyer-americain-fraise-milano/
Fresati (fraisés)    ,Panneaux Chêne Fraisé Asolo                              ,1290€ HT/u       ,Ref: 13011020306  ,https://venessens-parquet.com/collections/panneaux-chene-fraise-asolo-2/
